X1 transaction date,X2 house age,X3 distance to the nearest MRT station
2012.917,32,84.87882
2012.917,19.5,306.5947
2013.583,13.3,561.9845
2013.5,13.3,561.9845
2012.833,5,390.5684
2012.667,7.1,2175.03
2012.667,34.5,623.4731
2013.417,20.3,287.6025
2013.5,31.7,5512.038
2013.417,17.9,1783.18
2013.083,34.8,405.2134
2013.333,6.3,90.45606
2012.917,13,492.2313
2012.667,20.4,2469.645
2013.5,13.2,1164.838
2013.583,35.7,579.2083
2013.25,0,292.9978
2012.75,17.7,350.8515
2013.417,16.9,368.1363
2012.667,1.5,23.38284
2013.417,4.5,2275.877
2013.417,10.5,279.1726
2012.917,14.7,1360.139
2013.083,10.1,279.1726
2013,39.6,480.6977
2013.083,29.3,1487.868
2012.667,3.1,383.8624
2013.25,10.4,276.449
2013.5,19.2,557.478
2013.083,7.1,451.2438
2013.5,25.9,4519.69
2012.75,29.6,769.4034
2012.75,37.9,488.5727
2013.25,16.5,323.655
2012.75,15.4,205.367
2013.5,13.9,4079.418
2012.917,14.7,1935.009
2013.167,12,1360.139
2012.667,3.1,577.9615
2013.167,16.2,289.3248
2013,13.6,4082.015
2013.5,16.8,4066.587
2013.417,36.1,519.4617
2012.75,34.4,512.7871
2013.583,2.7,533.4762
2013.083,36.6,488.8193
2013.417,21.7,463.9623
2013.583,35.9,640.7391
2013.417,24.2,4605.749
2012.667,29.4,4510.359
2013.417,21.7,512.5487
2013.083,31.3,1758.406
2013.583,32.1,1438.579
2013.083,13.3,492.2313
2013.083,16.1,289.3248
2012.833,31.7,1160.632
2013.417,33.6,371.2495
2012.917,3.5,56.47425
2013.5,30.3,4510.359
2013.083,13.3,336.0532
2013.417,11,1931.207
2013.5,5.3,259.6607
2012.917,17.2,2175.877
2013.583,2.6,533.4762
2013.333,17.5,995.7554
2013.417,40.1,123.7429
2013,1,193.5845
2013.5,8.5,104.8101
2013.417,30.4,464.223
2012.833,12.5,561.9845
2013.583,6.6,90.45606
2013.083,35.5,640.7391
2013.583,32.5,424.5442
2013.167,13.8,4082.015
2012.917,6.8,379.5575
2013.5,12.3,1360.139
2013.583,35.9,616.4004
2012.833,20.5,2185.128
2012.917,38.2,552.4371
2013,18,1414.837
2013.5,11.8,533.4762
2013,30.8,377.7956
2013.083,13.2,150.9347
2012.917,25.3,2707.392
2013.083,15.1,383.2805
2012.75,0,338.9679
2012.833,1.8,1455.798
2013.583,16.9,4066.587
2012.917,8.9,1406.43
2013.5,23,3947.945
2012.833,0,274.0144
2013.25,9.1,1402.016
2012.917,20.6,2469.645
2012.917,31.9,1146.329
2012.917,40.9,167.5989
2012.917,8,104.8101
2013.417,6.4,90.45606
2013.083,28.4,617.4424
2013.417,16.4,289.3248
2013.417,6.4,90.45606
2013.5,17.5,964.7496
2012.833,12.7,170.1289
2013.083,1.1,193.5845
2012.75,0,208.3905
2012.667,32.7,392.4459
2012.833,0,292.9978
2013.083,17.2,189.5181
2013.333,12.2,1360.139
2013.417,31.4,592.5006
2013.583,4,2147.376
2013.083,8.1,104.8101
2013.583,33.3,196.6172
2013.417,9.9,2102.427
2013.333,14.8,393.2606
2012.667,30.6,143.8383
2013.083,20.6,737.9161
2013,30.9,6396.283
2013,13.6,4197.349
2013.5,25.3,1583.722
2013.5,16.6,289.3248
